	text_A	label
1403	When I was eight years old my father was run over by a car. When á I saw his body I was sad beyond words.	sadness
1404	A friend prepared a soup with chicken heads and invited me to eat á it. I saw the eyes staring at me and the tongues hanging out of á the bills. I was so disgusted that I felt nausea and had to leave á the room.	disgust
1405	When I had to go to the gynecologist and to sit on that special á chair, I felt ashamed.	shame
1408	I was afraid of a certain examination although I was relatively á well prepared.	fear
1413	I had to call somebody between 12 and 12:30. As I had no á possibility to call him at this time, I did not do it until 3 á p.m.	guilt
1415	I went home all alone from a restaurant. It was dark, I went very á fast. Behind me, there were some drunk men who shouted at me. By á chance, I met some friends who accompanied me.	fear
1416	A friend who shares the room with me, opened the window in the á morning and left the room the whole day. When I came home in the á evening, the room was so cold that I couldn't stay there.	anger
1417	When my aunt, whom I had loved very much, died. When I heard á about her death, I was not as touched as at the funeral. I really á became conscious of her death at that moment.	sadness
1418	A friend told me how he managed to win the sympathy of as many á people as possible. He said he first listened to what they said á and then he tried to only say things they would like to hear. á He would never express his own opinion. I felt really disgusted á when he told that.	disgust
1422	I arrived in Vienna in the middle of the night. I asked for some á silly information - as I realized myself afterwards - and the inquiry  á clerk reacted in a very arrogant manner.	anger
1423	I had to leave my girlfriend for 4 weeks because of my studies. á This happens frequently. The last 24 hours before my departure á are always very depressing.	sadness
1424	When I stayed in the house of friends, I washed my face and á wanted to dry it with a towel. This towel seemed to have been á used over a long time already. It smelled indefinably awful.	disgust
1427	I wanted to clear up a misunderstanding with a friend that I had á caused. A third person meddled in our conversation, turned my á efforts to ridicule so that I did not succeed in what I had á intended.	anger
1431	One night I did not come home without telling my parents and I á did not want to speak about it afterwards. My mother cried. I had á a bad conscience and felt guilty.	guilt
1432	After 3 weeks I saw my girlfriend again.	joy
1434	When the grandmother of my friend died in a hospital. My friend á was crying and I was sad, too.	sadness
1435	I saw a physically handicapped young man whose spittle ran out of á his mouth while speaking.	disgust
1437	My girlfriend's results in school had become worse because I á prevented her from learning (we often went out etc.).	guilt
1439	When I was a child, I heard the floor cracking and I thought á there was a burglar in our house; I hid under the blanket and á trembled.	fear
1440	During a lecture, a colleague who did not know anything about the á subject, got on my nerves asking silly questions.	anger
1444	During the military service, I lost a part of an equipment; I á accused another person and he was rebuked and punished.	guilt
1445	At a choral concert I appeared as a solist. The concert5 was very á good, I forgot all the hard work that had been done before. There á remained only an undescribable joy and a feeling of warmth, á security etc.	joy
1447	Several years ago my brother died in an accident. When I heard á about it, I was very sad. It took years until I resigned myself á to it.	sadness
1448	I read a book about the situation in South-Africa, about the á terrible violations of human rights. I was disgusted with the á white population.	disgust
1449	My P.T. instructor also works as a masseur. He wanted to massage á me, therefore I had to undress. For the first few times this was á not easy for me; I got gradually used to it.	shame
1450	Some time ago I took the driving test. I did answer the á theoretical questions very well, but I failed the practical á driving test. It was my fault because I had not enough practice.	guilt
1453	After an exhausting day I came home and wanted to take a bath to á relax. My father wanted to take a bath first and when he had á finished after an hour, there was no hot water left for me.	anger
1455	A drunk man attacked his wife and wanted to humiliate her by á insulting her. Then he turned violent and started to beat her in á front of her child. She left it happen without saying a word in á order not to make things worse. I watched the scene and tried to á calm the man, but without success. Just because he was stronger á we had to comply. From that day I detested him.	disgust
1456	For a medical check-up, we - boys and girls - had to take off our á clothes with the exception of our underwear. Then we had to go á into another classroom where older pupils were sitting and á staring at us.	shame
1457	I allowed my little brother to clean the bathroom in his own way. á My mother came and saw the floor overflowed with water, slapped á my brother in the face and told him to go to bed immediately.	guilt
1458	One day I did not feel very well and I wanted to talk to á somebody. A friend invited me for dinner and I was very glad.	joy
1459	I was driving my car and it was very misty. It was in the night á and I was alone in my car. I felt totally insecure, nervous and á overstrained.	fear
1460	My mother treated me unjustly as if I was a little child. I said á mean things. I was unable to defend myself adequately.	anger
1462	I took the tram without paying. There were many people around me á when I was caught by a controller. I felt ashamed but also angry.	shame
1463	I behaved in a nasty manner towards a friend, I said things which á I could have said in a more friendly way. After that I felt á guilty.	guilt
1464	A friend of mine often had difficulties with her parents. Once á she had a child she had a better relationship with them.	joy
1466	It happened in a tram: some older people started to grumble about á the young people just because I had not immediately left my seat á to them.	anger
1468	A friend was assaulted by a young man on her way home.	disgust
1470	During my holidays I had a boyfriend who turned away from me á outwardly. Therefore I danced with another man and raised certain á hopes in him. After a while I had to explain to him the á circumstances	guilt
1471	I received a letter and a Christmas present from a person I had á not seen for two years.	joy
1472	I was at home alone and my mother had asked me to heat the house. á I put too much fuel into the stove. It began to glow and there á was a noise in the whole house as if it was going to explode.	fear
1473	At the end of my holiday job I got less money than was due to me á and nobody mentioned anything about that.	anger
1475	At school a classmate who was a very good pupil had to help á another boy who performed less well. He told him on purpose the á wrong things so that he had to repeat a year.	disgust
1476	When I was a child I played my mother a nasty trick to make her á feel hurt.	shame
1479	I share my small flat with my friend. On her birthday we could á not see each other until evening because we had to stay at the á University all day. In the evening I left a lecture before it á finished to be able to buy flowers for her. When I was at home á she called me to tell me that she would stay the night with her á boyfriend.	anger
1481	When I was younger I often saw my father come home drunk (he had á big problems at that time). Once he woke me up in the middle of á the night and shouted at me.	disgust
1484	After a weekend at a seminar I saw my husband again. I hurried á home hoping he would be there. We embraced - I enjoyed feeling á his body.	joy
1485	One evening I stayed at home all alone. As we lived on the ground á floor, I was often afraid of burglers.	fear
1489	When I was ten years old a classmate laughed at me because I had á told him that my father had retired.	shame
1490	I felt guilty because I had not accomplished a thing as well as I á had wanted to.	guilt
1491	A party with friends on New Year's Eve.	joy
1493	I met again a very good friend after a year and realized that á there had grown a certain distance between us.	sadness
1494	When I listened to a conversation of friends talking about the á power of money.	disgust
1495	When my grandmother died - at her funeral.	sadness
1496	I read about a monk who had been murdered and put into a barrel á which was filled with blood of pigs.	disgust
1497	I went for a walk with a very close friend; we were talking about á our problems, I told her lies.	shame
1498	I had to tell a collegue the time for an appointment with another á collegue. I told her the wrong time - it was obviously my fault.	guilt
1499	I went to buy a bicycle with my father. When I wanted to pay, my á father took his purse and payed.	joy
1500	My mother had fallen down from a ladder when she had been á gathering cherries. Her back was hurt. Just when I arrived, I saw á people of the life-saving service giving her medical care.	fear
1503	At a weekend's seminar my trousers suddenly burst, therefore I was á prevented from participating in several activities.	shame
1505	Before Christmas I got to know a girl but our relationshop could á not consolidate before the holiday. Therefore it was a big á surprise to get a carefully hand-made present from her. - Our á relationship grew closer.	joy
1506	When I was a child, I fell into a cellar (when playing) and could á be freed only with big difficulties.	fear
1508	When my grandmother died. I had a very deep relation to her (I á lived with her for several years).	sadness
1510	When I went to the sauna for the first time and there were men á and women.	shame
1516	When I shoplifted a pair of earrings from Coles and my Mum caught á me with them in my bag.	guilt
1517	When my mother was tremendous on the phone and we talked for á hours. She was in a good mood.	joy
1518	When I saw a good male friend unexpectedly after a year, as I've á just returned from overseas. I was feeling tired, looking a mess, á and nervous.	fear
1519	When I wanted to talk to someone I liked and whom I have been á told likes me (by his brother and even by himself) however he á avoids any confrontation, and is vague.	anger
1520	After having left the company of someone who gave me a lot of á support and made me laugh, found myself alone for days on end.	sadness
1521	When a boy had continued to use foul language and swearing in á front of a group of my friends.	disgust
1522	When I was about seven or eight I was caught having stolen a á doll's dress from my next-door neighbour.	shame
1523	Feeling guilt after greed, buying chocolate and pigging out to á the point of feeling sick, especially as I am fat.	guilt
1524	When planning to marry.	joy
1525	No really strong such emotion. Just falling off to sleep when I á caught sight of a 5 cm diameter spider crawling onto the pillow á beside me.	fear
1526	My feelings towards would-be in-laws for their participation in á recent broken relationship.	anger
1527	Recent break-up of seriors long-term relationship, helped along á by would-be  in-laws.	sadness
1528	After failing a second attempt at Med 4, following a number of á difficult personal circumstances.	shame
1529	Failure to complete medical course as a result of failing fourth á year twice.	guilt
1530	When Wayne and Sue (close friends) were announced our guardians á at ther wedding.	joy
1532	When boyfriend lied to me.	anger
1534	On boat trip - saw mother giving young child (aprox 6-7 years) á cigarettes.	disgust
1537	Getting a part-time job.	joy
1540	When my grandfather was sick, and died I felt more sad, though, á when he was sick.	sadness
1541	People spitting in railway stations.	disgust
1542	Falling over.	shame
1546	At school, a couple of years ago, a so-called acquaintance told lies á about me to a teacher I was told about it by friends who overheard á the conversation.	anger
1547	My grandfather died. He lived almost as a recluse not caring for á himself as well as he should - Dad and we all helped as much as á we could, but it didn't save him from himself. It was an á unexpected death. His second de facto wife was lucky she wasn't á jailed.	sadness
1548	In my penultimate job I was responsible of a sections with á several employers, after several years of dedication I was á dismissed by a new chef, saying that I was incompetent.	sadness
1549	I assisted to a scene where the police attacked a person that á didn't have his documents. The savagery was too much, and the á attacked person bleeded to much.	disgust
1552	When I get something that seemed very hard like getting a job, a á boyfriend, etc. A specific sutuations, was when I started to date á a boy whom I liked for a long time.	joy
1553	When I had to assume a position which I didn't expect.	fear
1556	The acts of brutal violence in generally disgusts me. Fights, á phisical aggrssion, etc.	disgust
1557	I felt ashamed when in a certain occasion I had to read a text á and didn't stop stuttering.	shame
1560	The loss of the woman who loved me most till today.	sadness
1564	When I succeed in writing something I felt and doing it I felt á well and very happy for being able to express to myself something á that was suffocating me.	joy
1567	When I heard about the death of somebody I liked very much and I á was not present either to see the person or to try to share my á emotions with other friends.	sadness
1568	When I saw a woman subjugated by money and not being able to hide á how she hated herself for not having the will power to get out of á such a situation because it was convenient, according to what she á told me.	disgust
1571	I forgot to water the flowers in our flat and was rebuked by my á friends who share the flat with me.	guilt
1572	After my final examination at school I was glad that the á examination was over and that I had passed it.	joy
1574	I was angry with a person who behaved terribly at a ball á offending her relatives.	anger
1576	My brother caught a spider and let his frog eat it.	disgust
1577	Once I spoke without thinking very much - it was quite a á nonsense.	shame
1579	For about one year I had a rather bad relation with my father. á Last Christmas Eve he invited me to stay withhim and I was very á glad about it. It was a fine evening.	joy
1580	I live outside Graz - so I have to go by bus. One day I went home á from the bus stop alone. It was dark, I had to go through a á forest and there was a dark figure behind me. I was very á frightened.	fear
1583	I have a horror of spiders and snakes. On a walk through the wood á I saw the body of a slow-worm (without the head).	disgust
1584	I came home from a party rather drunk. I said things I would á never have said normally. Next morning I was terribly ashamed á about what I had said.	shame
1585	An accident happened to my little cousin because I had not taken á enough care of her. She fell on the floor and her hands were á hurt.	guilt
1587	When I was a child, I had a terrible nightmare with St. Nicholas' á Devil Servant. I asked my mother if he really existed and she á said yes. The following nights I could not sleep and a á light had to be left turned on.	fear
1588	As I usually do not start learning until a short time before an á examination,, I once made up my mind to try to work for a longer á time. But once again I did not do it - and got a bad mark.	anger
1590	I went out with my sister, her boyfriend and his friend. I did á not like this young man. But suddenly he overcame me and kissed á me. He was very strong so that I could not defend myself.	disgust
1591	During the oral part of my final examination I made a mistake in á speaking so that all the teachers laughed at me.	shame
1592	There was a time when I did not get on well with my sister. I á always grumbled at her and said bad things about her to my á mother. So my mother always scolded her.	guilt
1594	When I was on a cave excursion with friends, I suddenly lost them á and was afraid of losing my way in the cave.	fear
1596	When my grandmother died; I had a stronger relation to her than á to my mother.	sadness
1597	When I was molested by an old drunk man.	disgust
1598	When I had a Latin examination in school.	shame
1599	When I had drunk too much and nearly got an alcohol poisoning.	guilt
1603	When my grandparents moved to another part of the town.	sadness
1604	At the butcher's I saw an animal which had just been slaughtered; á blood was dripping on the floor.	disgust
1605	In school I was very bad in running long distances and my á class-mates laughed at me for this reason.	shame
1606	I had to take care of my little brother. When I met a friend I á did not pay attention to him for a certain time and he was hurt á while he was playing.	guilt
1609	When we still attended school, my brother and I usually went to á see our aunt and to show her our term's report. She rewarded us á with money. Although my reports were as good as my brother's, he á got more money.	anger
1610	My friend was pregnant, but lost her child during the second á month. I went to see her at hospital - she was crying. I felt á very sorry for her.	sadness
1613	I had to take care of a neighbour's child. I did not look after á it all the time and the child fell down and was hurt. I felt á guilty.	guilt
1614	A very good friend of mine had been away for three months. When á we met again, we ran up to each other and embraced.	joy
1619	I put my head into the pullover of a girl to see her breasts. The á girl looked at me so that I felt ashamed.	shame
1620	My uncle had promised to buy me a bicycle. As time went by and I á had not received it yet, I asked my father to buy it for me. á Later I heard that my uncle had wanted to offer me the bicycle on á my birthday two weeks later.	guilt
1621	Several days after my final examination at school, I was sitting á in an airplane on my way to Greece. I enjoyed that moment very á much.	joy
1622	One night I was lying in my bed awake but I had my eyes closed. I á saw figures with terrible faces and black frocks bending over me á and touching me. I opened my eyes but I could still see them. I á had the feeling that somebody was in the room. It was terrible. á Only when I turned on the light I was able to go to sleep.	fear
1624	Our dog had to be shot because he had killed a roe. I liked him á very much and so I could not resign myself to that. I hated the á hunter who shot him.	sadness
1626	I had to go to the doctor's because of a veneral disease. I told á the doctor that I must have been infected by my boy-friend. This á was not true, but I was ashamed to tell the truth.	shame
1627	When we were playing, I hurt my little sister, but towards my á mother I did not admit that it was my fault.	guilt
1628	My neighbour was not able to set his car in motion because it had á snowed heavily. I helped him - he was thankful and invited me.	joy
1629	I was skiing with friends and they wanted to ski-jump. I did not á want to be left behind, so I braced myself and followed them.	fear
1630	At an examination I got a bad mark just because of a small á mistake. When I went to the lector and wanted to talk about that, á he did not listen to me but sent me away.	anger
1631	My cut was run over by a car. After searching for a long time I á found her lying in a kerb. I was rather shocked and angry with á the driver.	sadness
1633	At a cross-country race I wanted to take a short-cut (which is á not allowed). I was caught and disqualified. All my friends had á observed that.	shame
1634	During a discussion I reacted very aggressively and so I made it á impossible to continue discussing.	guilt
1635	On my birthday I got a present that I had desired for a long á time.	joy
1636	When I am discussing something with a person and I realize that á the other person is thinking over her own argumentations instead á of listening, I become angry.	anger
1638	I studied medicine for several semesters. I was always disgusted á when we had the dissecting-course. I cannot understand why some á persons like this course.	disgust
1639	Some time ago we had a tournament in our tennis-club. For á tactical reasons I was chosen to play against a much weaker á player than I am. Although it would have been enough simply to á win the game, I defeated him extremely. This would not have been á necessary.	shame
1640	I had a discussion with my girl-friend. After some time we á started to quarrel and at least - to get the upper hand - I said á that she was not as important to me as she might believe. Some á time later I apologized for that.	guilt
1641	On New Year's Eve I went in a disco with friends. I amused myself á and got to know many other people.	joy
1642	I had to go to the dentist's. When he touched my tooth with his á drill, I was terribly aftaid of the pain I would feel any moment.	fear
1644	My sister, whom I like very much, asked me for a favour which I á refused her for some flimsy reason. Some time later I felt sorry á for that and something like sadness.	sadness
1645	On my way to a concert I went with a man who tried to molest me. á At that moment I did not care much but now the impression fills á me with disgust.	disgust
1646	I asked my friend to come with me to a disco because I wanted to á be with a person I know well. But when I amused myself with á others I let my friend sit alone, although I had asked her to á come.	shame
1647	I called my little sister to make her pick up her toy from the á floor. When she still refused after I had asked her for the á fourth time, we began to quarrel. At last the whole family was á involved in this quarrel and trouble was brewing.	guilt
1648	I had a singing-lesson, but I was not very good. The last á exercise was singing scales. I did that very well and my teacher á seemed satisfied.	joy
1651	Years ago on Christmas Eve I felt very sad because I realized for á the first time how I missed my father who had died at Christmas á Years ago.	sadness
1654	On my 18th birthday I passed the driving-test. I was glad because á I had had to study very much, because I had been lucky and á because - as a proof that it was really difficult - not everybody á had passed the test.	joy
1655	At about midnight I had to go by bike through Graz alone. On the á whole it was a distance of several kilometers. A car followed me á through the streets. Only when I went into a one-way street the á car disappeared. The rest of my way home I was very afraid.	fear
1657	I had cared for a horse for 2 years. One day it was sold and I á cried for several days because I was so sad.	sadness
1658	A friend of mine was telling jokes which I felt to be very á disgusting, especially because I was eating.	disgust
1659	At a carneval-party I smooched with a man - some days later I was á rather ashamed for that.	shame
1660	By fun I had a tussle with my sister. Suddenly I obviously hurt á her unintentionally - and she ran out of the room, crying.	guilt
1661	During my first week in Graz I met a girl who I had got to know á in the train from Amsterdam to Graz. Although I had considered á her very sympathetic, we had seperated without changing our á adresses.	joy
1664	Several years ago I stayed with friends in the mountains for one á week. We lived in a hut and had to cook for ourselves. One day my á friend did not succeed in preparing spaghetti. That dinner was á terrible - nevertheless we all ate rather much and had an á improper and unsavoury conversation.	disgust
1666	When I still went to primary-school, I went on a ski-trip with my á family. After skiing we went to a restaurant for lunch. Suddenly á my father said that he had forgotten something in the car. He á gave me the key and asked me to go and get it. I had difficulties á with the key which was already bent. I asked my mother to help á me. When she tried to turn the key it broke. We had no second á key. My mother was blamed for all that and I did not say a word.	guilt
1667	I had not studied very much for my final examination at school, á so I had to take an additional examination in French. The oral á examination was not very hard for me - the more I was glad when I á heard that I had passed it.	joy
1668	When I was 8 years old my tonsils had to be operated on. This is á not a complicated operation, but just before it started I was á very afraid so that I will never forget it.	fear
1673	I had been together with my boy-friend for two and a half years, á when he got to know another girl and not even tried to conceal á that from me. I drew my conclusions and left him - I also felt a á bit guilty for what had happened.	guilt
1674	My boy-friend told me that he would take me to the training of á the life-saving dogs.	joy
1676	A man treated his dog very badly - he insulted and beated him á until the dog kept lying on the floor with his tail drawn in.	anger
1678	On TV I saw a report about church in Amerika. A priest was shown á who was performing miracles in front of the camera - I felt á disgusted.	disgust
1681	To be able to prepare myself better for an important examination, á I did not spend the nitht with my girl-friend but in the á students' hostel. I had not done that for months. The day when I á had the examn, somebody knocked at my door at seven o'clock in á the morning. My girl-friend who likes sleeping late, had come to á be able to be with me.	joy
1684	My son's mother told me that she wanted to move to Vienna and á take the child with her. This means a rather long distance for á me. My whole family was sad and dumbfounded so that my own á feelings were intensified.	sadness
1686	I spent an evening with my girl-friend. When we wanted to go to á bed I was totally drunk. Next morning I felt rather ashamed.	shame
1688	After a long time I saw my boy-friend again. 	joy
1689	My first public appearance in front of a rathe big audience.	fear
1690	I was angry about how the government acted concerning Hainburg, á especially when I saw a discussion about it on TV.	anger
1691	Death of my father; he died of laryngeal cancer.	sadness
1693	When I bought new skis; I was ashamed to tell the assistant that á I am not good at skiing and therefor bought racing skis.	shame
1696	Before an examination: I had the fealing that I had not learned á enough.	fear
1700	I was sitting in a restaurant with friends. They asked me á something which they thought I should know. Actually I know it, á but at that time I was not able to remember it.	shame
1701	I had an appointment with a friend. I promised him to meet with á him, but at last I did not without having informed him.	guilt
1704	A friend of mine told other people that I was a slattern (because á of an occurence that had happened some time ago). When I heard á about that I was very angry.	anger
1707	When I was 6 or 7 years old, I pulled down the trousers of a á friend because I wanted to know what she looked like. My mother á watched that and (as a punishment) sent me into the house. We á never spoke about that; I think it was as embarassing for her as á it was for me. 	shame
1708	When I told my boy-friend, who loved me very much, that I wanted á to put an end to our relationship. a long time before I told him á that and also a long time after that I felt guilty, because I had á hurt him so much.	guilt
1709	Unexpectedly I met some persons who I like very much. á Spontaneously they invited me and integrated me within their á group, although it was late in the evening.	joy
1711	A friend of mine uses butter instead of oil when he is cooking. I á am always angry about that, because it is an unnecessary luxury. á Recently we both were cooking and he wanted to use butter again. á When I had already put the oil into the pan, he poured it out á again and put the butter into the pan.	anger
1712	After some friends had come to see me. They had stayed for á several days and we had got on very well. When they had left, I á had a feeling of emptyness.	sadness
1713	I had a quarrel with a friend who lived with me in the same flat. á He moved out. Before he went he invited me and some friends for a á drink. At last he was totally drunk and smelled disgusting. á Besides, he told lies about us and behaved as if he was to be á pitied.	disgust
1714	I went to see a friend. There were other people, too, and á everybody brought some present. I was the onlyone who brought á nothing. My friend was very hospitable and did not show anything á - although I knew how he felt.	shame
1716	I had a quarrel with my fiancT. When he admitted his fault, á everything was allright. It was then for the first time that he á surprised me with coffee and cake and a bunch of flowers.	joy
1717	After my boy-friend had beaten me for the first time, I always á trembled when somebody knocked on my door or when I heard steps á coming nearer.	fear
1719	I had to give up my love, because it did not work out well.	sadness
1722	I spied on my fiancT and was terribly jealous. Later I saw that á there was no reason for that.	guilt
1723	My sister had a daughter. I saw the baby for the first time á through a pane of glass and she looked at me.	joy
1724	My mother, my sister and I were sitting in the sitting room and á watching a film on TV. My father came home drunk and told us to á turn off. When we did not do that he switched off the fuse and á started shouting. We were sitting in the dark and I was afraid á that he would do us a harm.	fear
1726	When I was 9 years old, I got a cat, but after 3 days he died. I á was very sad, because I had nursed him and taken him to the á veterinary's - but in vain. Although I had had him only for a á short time I had liked him very much.	sadness
1727	When my grandmother was about 80 years old, she lived with us for á several years. I saw her illness. I did not even want to breath á the air that smelled of her presence.	disgust
1733	When I was a child, I was sometimes forced to eat things that á disgusted me.	disgust
1734	When I was 12 years old, some friends of our family had come to á watch TV. I lay on the floor and moved my pelvis. When the other á people had gone, my mother told me that it had looked as if I had á wanted to make sex.	shame
1735	When I shirked the gymnastic lesson I met the director of our á school who asked me what I was doing.	guilt
1738	I have a very big family. At my grandmother's funeral we all met á and everybody pretended mourning. In reality it was like a á fashion-show: everybody wanted to show himself.	anger
1739	Often a dog which is treated very badly by his owner comes to us.	sadness
1743	When I heard that I had passed my final examination at school á (with success).	joy
1745	When my mother kept me in leading-strings.	anger
1748	When I made a fool at an examination.	shame
1749	When I had wrongly explained someone an important exemple for an á examination.	guilt
1750	Last year I went to see friends in Yugoslavia - two girls with á whom I get along very well.	joy
1751	Before I went to the urologist's I was afraid for several á reasons: because it was for the first time, because the medical á check-up might be painful, because of the uncertainty and because á someone had informed me about it.	fear
1752	My girl-friend did not understand me; I was angry with myself á because I had problems when we seperated - I could not resign á myself to it.	anger
1753	A friend who was 22 years old died.	sadness
1754	When I was in the army, we got a certain dish for dinner that I á do not like at all. We were not obliged to eat, but I was very á hungry.	disgust
1756	A friend who was 22 years old, died of leukemia; I had not known á that he was so ill and therefore had not cared.	guilt
1757	When we got a young dog.	joy
1759	I had an accident with damage to the car body.	anger
1762	When I was a child, I had a medical check-up. I had to undress á myself and was examined by several doctors.	shame
1764	When I heard that a good friend, who had been abroad for a long á time, would come and see me.	joy
1766	I heard friends grumbling at me in an adjoining room, although á they had behaved in a friendly way when I was present.	anger
1767	When my brother died.	sadness
1769	When I was a child: I had told my mother a lie and she found it á out.	shame
1770	My father had been alone for a long time because my mother and á sister were on holiday. I had not seen him for a long time and á when I finally called him I realized that he had been very sad á about that.	guilt
1771	I unexpectedly got a present from my father.	joy
1772	When I had to go through lonely streets in the middle of the á night.	fear
1774	A relative, whom I like very much, left for the United States.	sadness
1776	Some persons, who are important for me, came to see me and I had á not washed the dishes.	shame
1777	I was looking after my cousin's little daughter; she fell down, á was slightly injured and cried vociferously.	guilt
1778	I met again a very good friend whom I had not seen for a long á time.	joy
1779	I got lost in a foreign town. I did not know the language of that á country and it took me hours to meet my friends again.	fear
1780	A friend had promised to get me a book which was very important á for my work, but she forgot it.	anger
1781	My dog, whom I had had for eleven years, died. I watched his á soporification.	sadness
1785	My friend came to see me after she had stayed abroad. I waited at á the station.	joy
1786	After a motor accident (I was the frong-seat-passenger) I spit á blood.	fear
1787	At an office an application that I had made was turned down á because of a scrupulous interpretation of the rules.	anger
1788	My uncle died - I felt sad at the funeral.	sadness
1789	I saw a drunk man tottering behind his wife and insulting her á awfully.	disgust
1791	I spread abroad an intimate secret.	guilt
1792	I bought a Christmas present for my girl-friend. On my way home I á was really glad about having found such a suitable thing.	joy
1794	I was angry when I watched a ski-race. All the Austrian skiers á dropped out.	anger
1796	On my way home in the middle of the night I saw a drunk man and a á woman who were quarreling, beating each other, shouting and so á on. I felt disgusted especially because they treated each other á in such a degrading way.	disgust
1797	My girl-friend and I live in one flat with another couple. We get á along very well and usually we share everything. Once we two were á sitting in our room and eating a cake when the others came in.	shame
1799	I went to fetch my girl-friend at the station. When the train á arrived and I saw her descending and running up to me, I felt á glad.	joy
1800	When I wanted to go into a house, there was suddenly a big dog á standing beside me. It was hardly moving, but I did not know how á it would react later on.	fear
1801	My father had bought too many goods for his shop, there was not á enough space to store them.	anger
1802	A friend died of cancer when he was 18 years old.	sadness
1804	During a discussion I said something rather stupid and á unnecessary.	shame
1805	When I was driving my car, I wanted to pick something from the á floor of the car and drove into the guide-rail. I thought that I á should not have done that and felt guilty.	guilt
1806	On my birthday a friend came to see me unexpectedly and brought á me flowers. I usually do not see her very often.	joy
1808	My boy-friend had promised me to come an 10 a.m. - he was 3 hours á late.	anger
1809	When I heard about a murder of a 16-year-old girl.	disgust
1810	When I broke the piggy bank of my brother and my mother á discovered that.	shame
1812	After I had been away for a long time a friend told me that I had á passed all my written examinations.	joy
1813	Recently my younger brother disappeared for two days without á leaving a trace. Usually he tells me when he wants to do á something like that, therefore I was afraid that something had á happened to him.	fear
1814	I played chess with my 12-year-old brother. I made a stupid á mistake - and he won!	anger
1815	It was only once that I really felt sad: at my grandfather's á funeral (after a long time of suffering he had died of cancer).	sadness
1816	3 years ago I served in the army. Once a collegue denounced me á because of a delict, which is usually committed. I was arrested á for 3 days. I still detest this man.	disgust
1818	When I was in the puberty I smashed the favourite toy of my á little brother because of a fit of rage.	guilt
1819	After I had had a disappointment in my private life, my friend, á who studies in Vienna, came to see me spontaneously.	joy
1821	A friend had promised me to give me a lift to Graz. To be sure I á called her before we went. She told me that she had just promised á another person to give him a lift.	anger
1824	When my boy-friend left me and I wanted to persuade him to stay.	shame
1826	Seeing relations from overseas after a few years.	joy
1827	Unknown person knocking repeatedly on backdoor when no one else á was at home.	fear
1828	"Boyfriend \chatting up\"" another girl."""	anger
1829	A friend breaking up with her boyfriend.	sadness
1830	Accidentally seeing a friend in a compromising situation with a á stranger.	disgust
1831	Parents finding out I smoked.	shame
1833	Emotional reassurances by spouse.	joy
1834	Movement in bush late at night while camping.	fear
1837	The price I was charged for work on my car.	disgust
1838	Caused fault in V.C.R. by not following instructions carefully.	shame
1841	A car came very close to hitting me whilst I was crossing the á street.	fear
1842	A friend whom I had gone out of my way to do something for did á not bother to acknowledge my efforts, and treated me badly á thereafter.	anger
1843	A girlfriend ended our relationship in an abrupt and unexpected á manner.	sadness
1846	I borrowed money from a friend and did not pay back the debt when á I said I would.	guilt
1847	Getting a phone call from a very old friend.	joy
1848	Before giving a seminar to a rather large audience.	fear
1851	At a social event when none of the guests would help to serve á food or clear tables. It was all beneath them.	disgust
1853	The more than satisfactory result of a recently-completed á university subject was communicated to me by phone.	joy
1855	A person walking his dog allowed it to defecate on the footpath á outside my house. Although it had happened before, this was the á first time I had witnessed it. All the skills I had learnt from á PY 263 were thrown out the window when his indifference to my á protestation was obvious to me.	anger
1856	While walking through an old mining area, I unwittingly disturbed á a wallaby which, in its resultant flight, accidentally fell down á a deep mine shaft. On investigation it seemed uninjured, but it á was impossible for the wallaby to get out, and also for me to get á it out of the shaft. To prevent its suffering a slow death, I á shot it.	sadness
1857	A colleague and I were sitting on a bench next to an old man in a á shopping centre. the old man coughed and spluttered somewhat, á then with his fingers removed the resultant phlegm and mucous á from his mouth, and transferred it onto the armrest of the á bench.	disgust
1860	On my birthday, when a very close friend sent me a huge bouquet á of flowers.	joy
1861	When I heard that there had been some women raped at uni, just á near where I usually park my car and walk by myself at night. á Although I wasn't in danger it unnerved me for days and I was á fearful whenever walking through the area.	fear
1863	When I found out that a person I went to school with had died in á a car accident.	sadness
1865	When I realised that I had become too emotionally involved with á the person I'm going out with, and when I began to like someone á else and questioned whether I really care about person I'm with.	shame
1866	When I came very late one night (or morning !) and my parents á were waiting, not so much angrgy as disappointed.	guilt
1873	Often I forget to give my immediate family birthday presents.	guilt
1874	I noticed that Meryl Streep and I had similar cheekbones and jaw á structure.	joy
1875	I do not recall being scared in the near past.	fear
1877	Girl I was fond of did not initiate conversation as I expected in á tutorial.	sadness
1878	I realised that someone was insidiously attempting to shit me off á I was disgusted with him for doing so, because I afforded him á with no excuse to do so.	disgust
1879	I do not seem to feel emotion such as shame, guilt or fear - far á out !	shame
1880	I cannot recall feeling guilty in the near past. REMARK - SUBJECT MAY NOT HAVE TAKEN THE EXERCISE VERY SERIOUSLY.	guilt
1884	The death of my twin sister - suicide.	sadness
1886	I had been rude to my mother at a time when she needed á comforting, not anger (death of my sister).	shame
1887	Guilt - because I had not written to my sister for months before á she died.	guilt
1889	A workmate and I had been antagonistic with each other for some á weeks - he had reacted violently to my criticisms of his work á standards.	fear
